FTA/G,MPG,FT%,PPG,GP,FGM/G,3FGA/G,3FG%,HIGH,PPS,3FGM/G,FTM/G,FG%,PTS/48,GS,fullname,PTS,FGA/G
1.2,16.9,.671,4.6,67,1.9,0.0,.000,13,1.00,0.0,0.8,.412,13.0,18,"Sacre, Robert",307,4.6
0.9,13.1,.627,4.5,63,1.9,0.5,.241,20,1.05,0.1,0.6,.443,16.7,6,"Leuer, Jon",286,4.3
1.0,15.5,.753,4.4,81,1.8,0.4,.206,16,1.22,0.1,0.7,.500,13.6,0,"Miller, Andre",355,3.6
0.9,15.4,.859,4.4,73,1.5,2.0,.322,15,1.08,0.7,0.8,.365,13.6,1,"Stauskas, Nik",319,4.1
0.5,18.9,.707,4.3,81,1.5,2.7,.352,14,1.07,1.0,0.4,.373,11.0,0,"Blake, Steve",350,4.0
1.7,18.8,.304,4.3,61,1.9,0.0,-,14,1.25,0.0,0.5,.552,11.1,6,"Mahinmi, Ian",265,3.5
0.8,11.1,.822,4.3,59,1.5,1.8,.321,23,1.08,0.6,0.6,.387,18.6,4,"Holiday, Justin",254,4.0
1.0,16.0,.703,4.2,62,1.7,0.2,.200,18,1.09,0.0,0.7,.448,12.6,25,"Haslem, Udonis",261,3.9
0.8,14.4,.533,4.2,58,1.8,0.7,.256,13,0.98,0.2,0.4,.421,13.9,0,"Calathes, Nick",243,4.3
1.0,16.7,.692,4.1,66,1.6,0.9,.267,15,1.08,0.2,0.7,.419,11.9,2,"Collison, Nick",273,3.8
0.3,13.2,.684,4.1,63,1.5,1.8,.513,18,1.33,0.9,0.2,.479,14.8,19,"Babbitt, Luke",256,3.0
0.6,17.9,.854,4.1,67,1.4,2.5,.343,13,1.20,0.9,0.5,.399,11.0,3,"Prigioni, Pablo",274,3.4
1.3,12.2,.632,4.0,74,1.6,0.1,.000,12,1.15,0.0,0.8,.459,15.6,0,"Davis, Glen",294,3.4
0.6,16.4,.478,4.0,73,1.9,0.0,-,15,1.16,0.0,0.3,.535,11.8,28,"Plumlee, Miles",294,3.5
0.2,11.4,.545,3.7,62,1.3,2.2,.432,19,1.23,1.0,0.1,.441,15.8,2,"Turkoglu, Hedo",232,3.0
0.5,13.0,.811,3.7,72,1.3,1.8,.365,18,1.15,0.6,0.4,.409,13.6,19,"Bonner, Matt",264,3.2
1.1,14.3,.531,3.7,59,1.5,0.0,.000,11,1.33,0.0,0.6,.562,12.3,15,"Dedmon, Dewayne",216,2.7
1.2,16.9,.506,3.6,68,1.5,0.0,.000,17,1.08,0.0,0.6,.449,10.3,3,"Perkins, Kendrick",246,3.3
1.9,14.3,.698,3.6,74,1.2,0.1,.143,18,1.64,0.0,1.3,.521,12.2,8,"Hansbrough, Tyler",270,2.2
0.7,19.2,.479,3.4,67,1.4,1.3,.247,12,1.13,0.3,0.3,.458,8.5,65,"Roberson, Andre",228,3.0
1.2,14.4,.577,3.3,61,1.3,0.0,-,14,1.06,0.0,0.7,.422,11.1,0,"Maxiell, Jason",203,3.1
1.2,12.4,.289,2.7,69,1.2,0.0,.000,8,1.27,0.0,0.3,.552,10.3,17,"Dorsey, Joey",184,2.1
